timestamp,facility_id,facility_name,available_spaces,total_capacity,is_active
2026-08-28T14:41:04.243754,004,Albert Avenue Garage,32,305,True
2026-08-28T14:41:04.243754,005,Bailey Lot,65,121,True
2026-08-28T14:41:04.243754,001,Charles Garage,80,683,True
2026-08-28T14:41:04.243754,000,Division Garage,125,615,True
2026-08-28T14:41:04.243754,002,Grove Garage,24,404,True
2026-08-28T14:41:04.243754,003,Mac Ave Garage,78,243,True
2026-08-28T14:43:55.467596,004,Albert Avenue Garage,27,305,True
2026-08-28T14:43:55.467596,005,Bailey Lot,65,121,True
2026-08-28T14:43:55.467596,001,Charles Garage,77,683,True
2026-08-28T14:43:55.467596,000,Division Garage,127,615,True
2026-08-28T14:43:55.467596,002,Grove Garage,25,404,True
2026-08-28T14:43:55.467596,003,Mac Ave Garage,78,243,True
2026-08-28T16:32:45.063438,004,Albert Avenue Garage,22,305,True
2026-08-28T16:32:45.063438,005,Bailey Lot,42,121,True
2026-08-28T16:32:45.063438,001,Charles Garage,63,683,True
2026-08-28T16:32:45.063438,000,Division Garage,109,615,True
2026-08-28T16:32:45.063438,002,Grove Garage,16,404,True
2026-08-28T16:32:45.063438,003,Mac Ave Garage,83,243,True
2026-08-28T17:43:12.324491,004,Albert Avenue Garage,38,305,True
2026-08-28T17:43:12.324491,005,Bailey Lot,43,121,True
2026-08-28T17:43:12.324491,001,Charles Garage,82,683,True
2026-08-28T17:43:12.324491,000,Division Garage,104,615,True
2026-08-28T17:43:12.324491,002,Grove Garage,16,404,True
2026-08-28T17:43:12.324491,003,Mac Ave Garage,93,243,True
2026-08-28T18:43:56.889147,004,Albert Avenue Garage,18,305,True
2026-08-28T18:43:56.889147,005,Bailey Lot,56,121,True
2026-08-28T18:43:56.889147,001,Charles Garage,99,683,True
2026-08-28T18:43:56.889147,000,Division Garage,114,615,True
2026-08-28T18:43:56.889147,002,Grove Garage,10,404,True
2026-08-28T18:43:56.889147,003,Mac Ave Garage,110,243,True
